TRIAL,TURN_COUNT,CURRENT_CAMERA_OF_CONVERSATION,PREVIOUS_CAMERAS_OF_CONVERSATION,PREVIOUS_FEATURES_OF_CONVERSATION,CUSTOMER_ACTION,CUSTOMER_LOCATION,CUSTOMER_TOPIC,CUSTOMER_SPEECH,OUTPUT_SHOPKEEPER_ACTION,OUTPUT_SHOPKEEPER_LOCATION,SHOPKEEPER_TOPIC,SHOPKEEPER_SPEECH,SHOPKEEPER_SPEECH_DB_ENTRY_RANGE
0,1,NONE,[],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': []}",C_ENTERS,DOOR,NONE,,S_NONE,SERVICE_COUNTER,NONE,,
0,2,NONE,[],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': []}",C_WALKS_TO_CAMERA,CAMERA_1,NONE,,S_NONE,SERVICE_COUNTER,NONE,,
0,3,CAMERA_1,['CAMERA_1'],"{'CAMERA_1': ['long_exposure'], 'CAMERA_2': [], 'CAMERA_3': []}",C_QUESTION_ABOUT_FEATURE,CAMERA_1,long_exposure,what about the exposure,S_NOT_SURE,CAMERA_1,,I'm not really sure about that.,
0,4,CAMERA_1,['CAMERA_1'],"{'CAMERA_1': ['long_exposure', 'preset_modes'], 'CAMERA_2': [], 'CAMERA_3': []}",C_SILENT_OR_BACKCHANNEL,CAMERA_1,NONE,wow that's pretty impressive,S_INTRODUCES_FEATURE,CAMERA_1,preset_modes,"This one has 11 preset modes (e.g. soft skin, snow, close-up).",13~61
0,5,CAMERA_1,['CAMERA_1'],"{'CAMERA_1': ['long_exposure', 'preset_modes', 'color'], 'CAMERA_2': [], 'CAMERA_3': []}",C_QUESTION_ABOUT_FEATURE,CAMERA_1,color,oh I see in a different color is awful,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_1,color,This one comes in silver or white.,18~33
0,6,CAMERA_1,['CAMERA_1'],"{'CAMERA_1': ['long_exposure', 'preset_modes', 'color', 'optical_zoom'], 'CAMERA_2': [], 'CAMERA_3': []}",C_QUESTION_ABOUT_FEATURE,CAMERA_1,optical_zoom,does it have optical zoom,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_1,optical_zoom,This one has 10x optical zoom.,13~29
0,7,NONE,['CAMERA_1'],"{'CAMERA_1': ['long_exposure', 'preset_modes', 'color', 'optical_zoom'], 'CAMERA_2': [], 'CAMERA_3': []}",C_THANK_YOU,CAMERA_1,NONE,thank you for your time,S_THANK_YOU,CAMERA_1,NONE,thank you very much.,
0,8,NONE,['CAMERA_1'],"{'CAMERA_1': ['long_exposure', 'preset_modes', 'color', 'optical_zoom'], 'CAMERA_2': [], 'CAMERA_3': []}",C_LEAVES,DOOR,NONE,,S_RETURNS_TO_COUNTER,SERVICE_COUNTER,NONE,,
1,1,NONE,[],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': []}",C_ENTERS,DOOR,NONE,,S_NONE,SERVICE_COUNTER,NONE,,
1,2,NONE,[],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': []}",C_WALKS_TO_CAMERA,CAMERA_1,NONE,,S_NONE,SERVICE_COUNTER,NONE,,
1,3,NONE,[],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': []}",C_EXAMINES_CAMERA,CAMERA_1,NONE,,S_GREETS,CAMERA_1,NONE,can I help you?,
1,4,CAMERA_3,['CAMERA_3'],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': []}",C_LOOKING_FOR_A_CAMERA,CAMERA_1,NONE,I'm looking for a camera for traveling so this seems to be good because of Light how much does it weigh,S_INTRODUCES_CAMERA,CAMERA_3,,Let me show you this. Here we have the Nikon Lumix S2800.,39~56
1,5,CAMERA_3,['CAMERA_3'],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes']}",C_QUESTION_ABOUT_FEATURE,CAMERA_3,preset_modes,what does this support for preset mode,S_NOT_SURE,CAMERA_3,,I'm not really sure about that.,
1,6,CAMERA_3,['CAMERA_3'],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size']}",C_QUESTION_ABOUT_FEATURE,CAMERA_3,sensor_size,Does it have a big sensor,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_3,sensor_size,This one has a 23.6mm x 15.6mm (APS-C) X-Trans CMOS II with primary color filter.,15~80
1,7,CAMERA_3,['CAMERA_3'],"{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_QUESTION_ABOUT_FEATURE,CAMERA_3,ISO,how is iso performance of this camera,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_3,ISO,This one has up to 3200 ISO.,13~27
1,8,CAMERA_1,"['CAMERA_3', 'CAMERA_1']","{'CAMERA_1': [], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_ANYTHING_ELSE_AVAILABLE,CAMERA_3,NONE,I see do you have any other options that you can show me,S_INTRODUCES_CAMERA,CAMERA_1,,Let me show you this. Here we have the Panasonic EOS 5D a6000.,39~61
1,9,CAMERA_1,"['CAMERA_3', 'CAMERA_1']","{'CAMERA_1': ['color'], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_QUESTION_ABOUT_FEATURE,CAMERA_1,color,does it come any in any other colors,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_1,color,This one comes in silver or white.,18~33
1,10,CAMERA_1,"['CAMERA_3', 'CAMERA_1']","{'CAMERA_1': ['color', 'sensor_size'], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_SILENT_OR_BACKCHANNEL,CAMERA_1,NONE,okay sounds great and lastly I worry about the out of focus,S_INTRODUCES_FEATURE,CAMERA_1,sensor_size,This one has a 23.6mm x 15.6mm (APS-C) X-Trans CMOS II with primary color filter.,15~80
1,11,CAMERA_1,"['CAMERA_3', 'CAMERA_1']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes'], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_SILENT_OR_BACKCHANNEL,CAMERA_1,NONE,so it can be saved on a computer Library,S_INTRODUCES_FEATURE,CAMERA_1,preset_modes,"This one has 11 preset modes (e.g. soft skin, snow, close-up).",13~61
1,12,CAMERA_1,"['CAMERA_3', 'CAMERA_1']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_SILENT_OR_BACKCHANNEL,CAMERA_1,NONE,okay I say it,S_INTRODUCES_FEATURE,CAMERA_1,optical_zoom,This one has 10x optical zoom.,13~29
1,13,CAMERA_2,"['CAMERA_3', 'CAMERA_1', 'CAMERA_2']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': [], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_ANYTHING_ELSE_AVAILABLE,CAMERA_1,NONE,okay do you have any other cameras I might be interested,S_INTRODUCES_CAMERA,CAMERA_2,,Let me show you this. Here we have the Sony X-T20 360 HS.,39~56
1,14,CAMERA_2,"['CAMERA_3', 'CAMERA_1', 'CAMERA_2']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': ['sensor_size'], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_QUESTION_ABOUT_FEATURE,CAMERA_2,sensor_size,do you know what is the sensor size for this camera,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_2,sensor_size,This one has a 1/2.33 inch sensor.,15~33
1,15,CAMERA_2,"['CAMERA_3', 'CAMERA_1', 'CAMERA_2']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': ['sensor_size', 'optical_zoom'], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_QUESTION_ABOUT_FEATURE,CAMERA_2,optical_zoom,can I lick a zoom in,S_NOT_SURE,CAMERA_2,,I'm not really sure about that.,
1,16,CAMERA_2,"['CAMERA_3', 'CAMERA_1', 'CAMERA_2']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': ['sensor_size', 'optical_zoom', 'long_exposure'], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_QUESTION_ABOUT_FEATURE,CAMERA_2,long_exposure,what about the exposure what can it handle,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_2,long_exposure,This one can take long exposures up to up to 60 minutes with bulb mode.,39~70
1,17,CAMERA_2,"['CAMERA_3', 'CAMERA_1', 'CAMERA_2']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': ['sensor_size', 'optical_zoom', 'long_exposure', 'price'], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_QUESTION_ABOUT_FEATURE,CAMERA_2,price,how much is this,S_ANSWERS_QUESTION_ABOUT_FEATURE,CAMERA_2,price,This one costs $1753.,15~20
1,18,CAMERA_2,"['CAMERA_3', 'CAMERA_1', 'CAMERA_2']","{'CAMERA_1': ['color', 'sensor_size', 'preset_modes', 'optical_zoom'], 'CAMERA_2': ['sensor_size', 'optical_zoom', 'long_exposure', 'price', 'camera_type'], 'CAMERA_3': ['preset_modes', 'sensor_size', 'ISO']}",C_SILENT_OR_BACKCHANNEL,CAMERA_2,NONE,IC,S_INTRODUCES_FEATURE,CAMERA_2,camera_type,This is a DSLR camera.,10~14
