"Utterance.ID","Timestamp","Trial.ID","Condition","Cluster.ID","Is.Representative","Is.Junk","Utterance","Cluster.Size","Intra.Complete","Intra.Average","Inter.Complete","Inter.Single","Inter.Average","Inter.Hausforff"
10,NA,NA,NA,0,0,1,"the a900 has an <sensor_size> .",3342,1,0.454688376912347,0,0,0,0
19,NA,NA,NA,0,0,1,"you have several different autofocus points with his camera <autofocus_points> to be exact .",3342,1,0.454688376912347,0,0,0,0
32,NA,NA,NA,0,0,1,"this sony alpha has great features and iso that goes all the way to 25600.",3342,1,0.454688376912347,0,0,0,0
35,NA,NA,NA,0,0,1,"this is a great option when it comes to <camera_type> cameras .",3342,1,0.454688376912347,0,0,0,0
52,NA,NA,NA,0,0,1,"heres an option i think you might like its the <camera_name> .",3342,1,0.454688376912347,0,0,0,0
55,NA,NA,NA,0,0,1,"the cost of this is only <price> .",3342,1,0.454688376912347,0,0,0,0
68,NA,NA,NA,0,0,1,"this is a <camera_type> camera with <preset_modes> .",3342,1,0.454688376912347,0,0,0,0
78,NA,NA,NA,0,0,1,"the <camera_name> weighs only <weight> .",3342,1,0.454688376912347,0,0,0,0
79,NA,NA,NA,0,0,1,"if you have any other questions just please call me",3342,1,0.454688376912347,0,0,0,0
94,NA,NA,NA,0,0,1,"it has a sensor size of <sensor_size>",3342,1,0.454688376912347,0,0,0,0
99,NA,NA,NA,0,0,1,"this sony comes in <color> and is <price> .",3342,1,0.454688376912347,0,0,0,0
100,NA,NA,NA,0,0,1,"its a <camera_type> an interchangeable lens .",3342,1,0.454688376912347,0,0,0,0
110,NA,NA,NA,0,0,1,"any other questions",3342,1,0.454688376912347,0,0,0,0
114,NA,NA,NA,0,0,1,"only have a look around feel free to ask any other questions ill just be here",3342,1,0.454688376912347,0,0,0,0
116,NA,NA,NA,0,0,1,"this nikon is a <camera_type> camera .",3342,1,0.454688376912347,0,0,0,0
130,NA,NA,NA,0,0,1,"the iso starts at 100 and maxes out at 3200.",3342,1,0.454688376912347,0,0,0,0
133,NA,NA,NA,0,0,1,"ok ask me if you need any more help",3342,1,0.454688376912347,0,0,0,0
154,NA,NA,NA,0,0,1,"okay thanks have a good sign if you have any questions please just ask okay thank you",3342,1,0.454688376912347,0,0,0,0
160,NA,NA,NA,0,0,1,"the a900 has automatic and <settings> .",3342,1,0.454688376912347,0,0,0,0
161,NA,NA,NA,0,0,1,"this comes in two colors <color> .",3342,1,0.454688376912347,0,0,0,0
165,NA,NA,NA,0,0,1,"this is a nikon <camera_type> camera .",3342,1,0.454688376912347,0,0,0,0
174,NA,NA,NA,0,0,1,"it has a max iso of 3200.",3342,1,0.454688376912347,0,0,0,0
183,NA,NA,NA,0,0,1,"i dont think you should drop it",3342,1,0.454688376912347,0,0,0,0
184,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that is available in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> focus points and a <resolution> resolution all for <price> .",3342,1,0.454688376912347,0,0,0,0
194,NA,NA,NA,0,0,1,"the camera has a sensor size of <sensor_size>",3342,1,0.454688376912347,0,0,0,0
206,NA,NA,NA,0,0,1,"the colors of this can be <color> .",3342,1,0.454688376912347,0,0,0,0
212,NA,NA,NA,0,0,1,"this camera is a sony <camera_type> .",3342,1,0.454688376912347,0,0,0,0
220,NA,NA,NA,0,0,1,"ok ask me if you need any more help",3342,1,0.454688376912347,0,0,0,0
226,NA,NA,NA,0,0,1,"its a camera that has interchangeable lenses.",3342,1,0.454688376912347,0,0,0,0
230,NA,NA,NA,0,0,1,"this is a nikon coolpix <camera_type> camera .",3342,1,0.454688376912347,0,0,0,0
235,NA,NA,NA,0,0,1,"let me show you something you might like this is the <camera_name> .",3342,1,0.454688376912347,0,0,0,0
236,NA,NA,NA,0,0,1,"this is a <price> camera .",3342,1,0.454688376912347,0,0,0,0
243,NA,NA,NA,0,0,1,"what we have here is the <camera_name> <camera_type> camera .",3342,1,0.454688376912347,0,0,0,0
244,NA,NA,NA,0,0,1,"this one has <autofocus_points> autofocus points",3342,1,0.454688376912347,0,0,0,0
258,NA,NA,NA,0,0,1,"so you have anymore questions just let me know",3342,1,0.454688376912347,0,0,0,0
270,NA,NA,NA,0,0,1,"sorry but the number of autofocus points isnt in my detail sheet.",3342,1,0.454688376912347,0,0,0,0
282,NA,NA,NA,0,0,1,"this ones optical zoom information isnt know.",3342,1,0.454688376912347,0,0,0,0
293,NA,NA,NA,0,0,1,"what can i do for you",3342,1,0.454688376912347,0,0,0,0
295,NA,NA,NA,0,0,1,"the long exposure capability on this model is <long_exposure> .",3342,1,0.454688376912347,0,0,0,0
299,NA,NA,NA,0,0,1,"ok ask me if you need any more help",3342,1,0.454688376912347,0,0,0,0
301,NA,NA,NA,0,0,1,"this fujifilm model is <weight> and costs <price> and it has tons of features .",3342,1,0.454688376912347,0,0,0,0
306,NA,NA,NA,0,0,1,"this camera has fully <settings> with <settings> possible .",3342,1,0.454688376912347,0,0,0,0
309,NA,NA,NA,0,0,1,"this has a ccd sensor it is 1/2.3 inches.",3342,1,0.454688376912347,0,0,0,0
310,NA,NA,NA,0,0,1,"the colors on this are <color> .",3342,1,0.454688376912347,0,0,0,0
