ACTION,TOPIC,CAMERA_OF_CONVERSATION,UTTERANCE
S_ANSWERS_QUESTION_ABOUT_FEATURE,artistic_effects_what,CAMERA_X,so basically when you take a picture of something then you can give a filter so it looks like a painting or like a drawing.
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CAMERA_X,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,black,CAMERA_X,This one comes in {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode_what,CAMERA_X,bulb mode so you just press the shutter once and then you can leave it as long as you can and it takes all the exposure and then if you press it again it will turn off.
S_ANSWERS_QUESTION_ABOUT_FEATURE,camera_type,CAMERA_X,This is a {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CAMERA_X,This one comes in {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,DSLR,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,ease_of_use,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,effects,CAMERA_X,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,expensive,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure_what,CAMERA_X,"exposure is how long you leave the shutter open. The longer itÅEÄÅEs open, the more light can come in."
S_ANSWERS_QUESTION_ABOUT_FEATURE,full_frame,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,glamour_retouch_effects_what,CAMERA_X,"when you're taking a picture of yourself, it can brighten your skin or widen your eyes."
S_ANSWERS_QUESTION_ABOUT_FEATURE,high_performance,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,image_quality,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,ISO,CAMERA_X,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,ISO_what,CAMERA_X,"ISO is needed if you want to shoot in the dark, The higher the iso the better the quality of image when it's shooting in the dark."
S_ANSWERS_QUESTION_ABOUT_FEATURE,lenses,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,lenses_sell,,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,long_exposure,CAMERA_X,This one can take long exposures up to {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,low_light_performance,CAMERA_X,#
