,SHOPKEEPER_SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
854,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
3742,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4354,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,*,1,,-
1926,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4344,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4784,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
932,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4605,NONE,PASSIVE,NONE;CANON,0;NONE;CANON,-,1,,-
3496,NONE,PASSIVE,NONE;CANON,0;NONE;CANON,*,1,,-
3100,NONE,PASSIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
2703,NONE,PASSIVE,NONE;NIKON,0;NONE;NIKON,*,1,,-
1686,NONE,PROACTIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
4795,NONE,PASSIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
2055,NONE,PROACTIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
4101,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4848,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4909,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4794,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4031,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4677,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3522,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4814,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4238,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4237,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3541,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3099,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4492,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4899,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3592,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4939,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4064,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,*,1,,-
4459,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4537,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4570,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
2879,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3773,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
1704,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3778,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4780,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3635,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2936,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4524,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3681,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3014,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3018,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
611,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4038,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
313,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
407,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4787,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3622,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3620,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4716,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2938,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3564,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3904,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3722,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3720,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
777,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3587,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3799,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3902,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4402,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3718,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3748,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2293,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2372,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
582,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
1750,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3751,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3752,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3746,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4821,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3623,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4233,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4885,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3980,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3378,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
1209,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4144,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3801,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4904,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4906,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3852,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3373,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4914,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4229,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3401,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3855,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3857,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3859,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4927,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4929,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3861,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
13,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3283,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3194,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3238,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
896,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,*,1,,-
4956,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2700,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
1171,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4880,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3021,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4876,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3803,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4878,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4252,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4838,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2616,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3081,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3430,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4024,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4021,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3977,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3827,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3876,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
393,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2735,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2737,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3790,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3874,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2128,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2118,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3792,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4282,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4168,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4167,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3663,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3661,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3660,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3878,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2668,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3788,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
734,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3833,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3831,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
378,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3829,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2288,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2824,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2622,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4325,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2620,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3872,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4376,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4260,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2464,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4315,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3786,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4261,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2648,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4264,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2501,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4208,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4321,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2594,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
442,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
414,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3104,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3419,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1327,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3095,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3093,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3092,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1445,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3088,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1464,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
808,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1502,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3958,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3033,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1552,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,*,1,,-
3953,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4806,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
413,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1306,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1305,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3383,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4896,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4962,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3201,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
879,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
530,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4937,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
934,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3180,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3312,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4790,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1103,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3357,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1145,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1187,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
831,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1194,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1195,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1202,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4898,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3354,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1694,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3008,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3003,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2944,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2930,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3006,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3580,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1891,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3602,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3628,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3630,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3632,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
652,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
1997,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3923,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4506,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2033,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2034,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4663,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3527,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
599,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
476,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2988,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3519,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
577,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2990,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
477,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
645,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4058,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2978,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2973,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
2970,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
4761,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1,,-
3919,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2808,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3917,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2791,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3915,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3934,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3911,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3938,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3908,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2807,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2794,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2811,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3896,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3895,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3891,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3893,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3928,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3889,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3640,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3885,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3612,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3610,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
461,NONE,PROACTIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3506,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2983,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3492,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
487,NONE,PROACTIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3638,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3026,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3458,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3452,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3440,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3438,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3141,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3147,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3309,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3050,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3642,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3645,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3675,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3882,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3846,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3843,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
2826,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3817,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3815,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3813,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3766,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3764,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3735,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3733,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3707,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3704,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3702,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3689,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3687,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3685,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3887,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3996,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
3225,NONE,PASSIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
134,NONE,PROACTIVE,PRESENT_X;SONY,0;PRESENT_X;SONY,-,1,,-
